
---------------> PROGRAM SIG_BCZ <---------------


  Reading the parameters from file: sig_bcz_input
  Input parameters are:

    XINIT = 2.0000E-08
    AMP0 = 0.050    TAU0 =   2700.00    PHI0 = 0.500
    IPRINT = 4    ERRORS = n

  
  name of input file (l,n,v) -->   
   Reading frequencies from File: /home/joao/Documents/FCUP/TESE/bcz_fit/mesa_bestA.freq                          
       Range in frequencies: 1494.6894 - 2787.6930
       Reference frequency : 2100.0000
       Points read:  36
  
   Smoothing parameter = 0.20D-07

   File RES   [Model,C1,C2,...] (all final values)
   File COF   [C1,C2,...] (each iteration)
   File SIG   [v, v-smooth, l, n, sigma, fit] 
 379 ->      0.10     0.00000017     0.00021320    
 380 ->      0.10     0.00000018     0.00021320    
 381 ->      0.10     0.00000016     0.00021320    
 382 ->      0.10     0.00000014     0.00021320    
 383 ->      0.10     0.00000013     0.00021320    
 384 ->      0.10     0.00000013     0.00021320    
 385 ->      0.10     0.00000016     0.00021320    
 386 ->      0.10     0.00000014     0.00021320    
 387 ->      0.10     0.00000014     0.00021320    
 388 ->      0.10     0.00000011     0.00021320    
 389 ->      0.10     0.00000011     0.00021320    
 390 ->      0.10     0.00000013     0.00021320    
 391 ->      0.10     0.00000014     0.00021320    
 392 ->      0.10     0.00000009     0.00021320    
 393 ->      0.05     0.00227879     0.00014282    
 394 ->      0.05     0.00105529     0.00013348    
 395 ->      0.05     0.00040826     0.00012900    
 396 ->      0.05     0.00006533     0.00012667    
 397 ->      0.05     0.00017017     0.00012537    
 398 ->      0.05     0.00025042     0.00012460    
 399 ->      0.05     0.00029443     0.00012410    
 400 ->      0.05     0.00031804     0.00012376    
 401 ->      0.05     0.00032995     0.00012349    
 402 ->      0.05     0.00033496     0.00012328    
 403 ->      0.05     0.00033575     0.00012309    
 404 ->      0.05     0.00033404     0.00012293    
 405 ->      0.05     0.00033067     0.00012278    
 406 ->      0.05     0.00032639     0.00012263    
 407 ->      0.05     0.00032135     0.00012250    
 408 ->      0.05     0.00031602     0.00012236    
 409 ->      0.05     0.00031047     0.00012224    
 410 ->      0.05     0.00030480     0.00012211    
 411 ->      0.05     0.00029906     0.00012200    
 412 ->      0.05     0.00029331     0.00012188    
 413 ->      0.05     0.00028767     0.00012177    
 414 ->      0.05     0.00028204     0.00012165    
 415 ->      0.05     0.00027650     0.00012155    
 416 ->      0.05     0.00027108     0.00012144    
 417 ->      0.05     0.00026565     0.00012134    
 418 ->      0.05     0.00026041     0.00012123    
 419 ->      0.05     0.00025526     0.00012113    
 420 ->      0.05     0.00025018     0.00012104    
 421 ->      0.05     0.00024517     0.00012094    
 422 ->      0.05     0.00024033     0.00012085    
 423 ->      0.05     0.00023548     0.00012076    
 424 ->      0.05     0.00023083     0.00012067    
 425 ->      0.05     0.00022621     0.00012058    
 426 ->      0.05     0.00022166     0.00012049    
 427 ->      0.05     0.00021728     0.00012041    
 428 ->      0.05     0.00021293     0.00012033    
 429 ->      0.05     0.00020867     0.00012025    
 430 ->      0.05     0.00020452     0.00012017    
 431 ->      0.05     0.00020041     0.00012009    
 432 ->      0.05     0.00019643     0.00012001    
 433 ->      0.05     0.00019254     0.00011994    
 434 ->      0.05     0.00018868     0.00011987    
 435 ->      0.05     0.00018488     0.00011980    
 436 ->      0.05     0.00018124     0.00011973    
 437 ->      0.05     0.00017761     0.00011966    
 438 ->      0.05     0.00017405     0.00011959    
 439 ->      0.05     0.00017059     0.00011952    
 440 ->      0.05     0.00016718     0.00011946    
 441 ->      0.05     0.00016385     0.00011940    
 442 ->      0.05     0.00016056     0.00011934    
 443 ->      0.05     0.00015739     0.00011928    
 444 ->      0.05     0.00015424     0.00011922    
 445 ->      0.05     0.00015112     0.00011916    
 446 ->      0.05     0.00014815     0.00011910    
 447 ->      0.05     0.00014519     0.00011905    
 448 ->      0.05     0.00014225     0.00011899    
 449 ->      0.05     0.00013942     0.00011894    
